Wavelength,H_blocker,K,L,M
1.36687,0.000847772,0.0186658,0.00280428,0.00309253
1.36724,0.000376638,0.0180733,0.000579834,0.00114441
1.36761,0.00176137,0.0185752,0.0011301,0.00128126
1.36799,0.00133038,0.0206461,0.00168681,0.00124931
1.36836,0.000120375,0.0181282,0.00155544,0.0022924
1.36874,0.00100029,0.0191853,0.000421524,0.000882864
1.36911,0.00106814,0.0161421,0.00211644,0.00215507
1.36949,0.00186819,0.0174994,0.00183606,0.00115228
1.36986,0.00110206,0.0192418,0.00142741,0.00105715
1.37024,0.0011004,0.016396,0.00103712,0.00293708
1.37061,0.00247419,0.0196063,0.00101519,0.00277996
1.37099,0.00178361,0.0180719,0.000929117,0.000515223
1.37137,0.00062688,0.0175526,0.000752211,0.00136638
1.37174,0.00210983,0.0178559,0.000810623,0.0015676
1.37212,0.000553362,0.0172558,0.00251293,0.0019176
1.3725,4.11E-05,0.0150693,0.00231266,0.00181055
1.37287,0.000366708,0.018131,0.00152302,0.000909328
1.37325,0.00258649,0.0176213,0.000974894,0.00155664
1.37363,0.00136985,0.0182221,0.00120115,0.00172687
1.374,0.00159926,0.0178237,0.000740766,0.00160909
1.37438,0.00155286,0.0174534,0.000563145,0.00262046
1.37476,0.00119532,0.0182343,0.00214601,0.00210071
1.37514,0.000782588,0.0172687,0.00310802,0.00106096
1.37552,0.00115268,0.0169547,0.0017941,0.00096035
1.37589,0.00145498,0.0156918,0.00195074,0.00134253
1.37627,0.0017856,0.0167026,0.00046587,0.00275946
1.37665,0.0015277,0.0162389,0.00171566,0.00213528
1.37703,0.00113548,0.0165498,0.00111794,0.000812292
1.37741,0.000694964,0.0176988,0.00208783,0.00078845
1.37779,0.000724349,0.0183363,0.000836611,0.00140643
1.37817,0.000772631,0.0163028,0.00247693,0.000628233
1.37855,0.00174591,0.0188832,0.00168848,0.000694752
1.37893,0.000803207,0.0158467,0.00178051,0.000916004
1.37931,0.00110229,0.0164955,0.00163937,0.00116157
1.37969,0.00128795,0.0162137,0.00119758,0.000773907
1.38007,0.00164414,0.0175805,0.00105238,0.00124645
1.38045,0.00131275,0.0176535,0.00127101,0.00363946
1.38083,0.00106017,0.016885,0.000650883,0.002805
1.38122,0.00181545,0.0156968,0.00067997,0.00147963
1.3816,0.00184301,0.0178647,0.000802994,0.000744581
1.38198,0.00153431,0.0149026,0.00133038,0.000803947
1.38236,0.000617012,0.016257,0.00229168,0.00104022
1.38274,0.000736967,0.0183155,0.000117779,0.00108457
1.38313,0.00158924,0.0185766,0.00247192,0.00237393
1.38351,0.000366774,0.0172253,0.00254583,0.00309253
1.38389,0.00230742,0.0158839,0.000922441,0.00227714
1.38427,0.00206503,0.0139916,0.000741482,0.00108695
1.38466,0.00021683,0.0151348,0.000904799,0.000823975
1.38504,0.000796406,0.0166628,0.00258565,0.00136971
1.38543,0.000804283,0.0164933,0.00110626,0.00198865
1.38581,0.000964264,0.0151036,0.000230312,0.00203729
1.38619,0.00142843,0.0161622,0.000934601,0.000720501
1.38658,0.00143457,0.014868,0.00110984,0.00264668
1.38696,0.000551637,0.0146549,0.000960589,0.00162458
